feature,chi2,p,V_cramer,decision
temperature_missing,70959.4,0.0,0.41196,mantener
o2sat_missing,61864.8,0.0,0.38465,mantener
pain_missing,43536.9,0.0,0.32268,mantener
hipotension,31105.0,0.0,0.27274,mantener
llegada_autonoma,31021.1,0.0,0.27237,mantener
llegada_ambulancia,27297.0,0.0,0.2555,mantener
vitales_criticos,18407.3,0.0,0.2098,mantener
shock_index_alto,18218.6,0.0,0.20872,mantener
cc_gi_agudo,18161.4,0.0,0.2084,mantener
anciano,16612.5,0.0,0.19931,mantener
cc_neuro_ams,15744.8,0.0,0.19403,mantener
polifarmacia,14685.1,0.0,0.18739,mantener
cc_derivacion_urgente,14482.4,0.0,0.18609,mantener
zona_verde,14388.7,0.0,0.18549,mantener
cc_psiquiatrico,13677.3,0.0,0.18084,mantener
cc_disnea,13008.3,0.0,0.17636,mantener
cc_dolor_toracico,12706.7,0.0,0.1743,mantener
o2sat_bajo_92,11908.5,0.0,0.16874,mantener
anciano_mayor,11061.2,0.0,0.16262,mantener
taquipnea_grave,11007.4,0.0,0.16223,mantener
med_betabloqueante,10278.8,0.0,0.15676,mantener
sin_medicacion,9827.1,0.0,0.15328,mantener
news2_alto,9663.1,0.0,0.152,mantener
hiperpolifarmacia,9247.3,0.0,0.14869,mantener
shock_oculto_anciano,9129.0,0.0,0.14773,mantener
med_antiagregante,8275.0,0.0,0.14065,mantener
med_diuretico_asa,6746.5,0.0,0.12699,mantener
llegada_desconocida,6225.0,0.0,0.12198,mantener
identidad_desconocida,5949.1,0.0,0.11924,mantener
cc_trauma,5923.3,0.0,0.11899,mantener
sirs_positivo,5188.5,0.0,0.11136,mantener
med_ace_ara2,5141.1,0.0,0.11085,mantener
med_anticoagulante,5023.3,0.0,0.10957,mantener
alto_riesgo_sangrado,4418.5,0.0,0.10275,mantener
alto_riesgo_delirium,4049.9,0.0,0.09837,revisar
cc_urologico,3905.0,0.0,0.09659,revisar
med_ssri_snri,3343.8,0.0,0.08938,revisar
llegada_helicoptero,3217.5,0.0,0.08767,revisar
med_benzodiacepina,2808.6,0.0,0.0819,revisar
qsofa_positivo,2740.0,0.0,0.08089,revisar
hx_cardiaco,2562.5,0.0,0.07823,revisar
med_opiaceo,2505.0,0.0,0.07734,revisar
med_insulina,2490.0,0.0,0.07711,revisar
med_antipsicótico,2431.8,0.0,0.0762,revisar
med_anticonvulsivante,2366.0,0.0,0.07516,revisar
riesgo_depresion_resp,2050.5,0.0,0.06996,descartar
gender,1735.3,0.0,0.06435,descartar
cc_hemorragia_activa,1683.3,0.0,0.06338,descartar
hx_trauma_muscular,1645.8,0.0,0.06266,descartar
hx_digestivo,1612.2,0.0,0.06202,descartar
cc_alergia_anafilaxia,1496.4,0.0,0.05975,descartar
med_respiratorio_inhalado,1296.2,0.0,0.05559,descartar
cc_infeccioso,1293.3,0.0,0.05553,descartar
med_antiaritmico,1083.3,0.0,0.05081,descartar
fiebre,1049.0,0.0,0.04999,descartar
hx_metabolico_renal,1044.6,0.0,0.04989,descartar
hipertension_severa,1038.7,0.0,0.04975,descartar
med_antidiabetico_oral,1013.6,0.0,0.04914,descartar
riesgo_complejidad_extrema,980.3,0.0,0.04832,descartar
med_corticoide_sistemico,975.2,0.0,0.0482,descartar
hx_psiquiatrico,917.5,0.0,0.04674,descartar
cc_cefalea,890.5,0.0,0.04605,descartar
cc_intoxicacion,834.8,0.0,0.04458,descartar
primera_visita,716.3,0.0,0.04128,descartar
med_inmunosupresor,714.5,0.0,0.04122,descartar
frecuentador,473.3,0.0,0.0335,descartar
hx_abuso_sustancias,398.1,0.0,0.0307,descartar
hx_infeccioso,294.8,0.0,0.02637,descartar
hx_respiratorio,250.7,0.0,0.02429,descartar
med_diuretico_tiazida,247.5,0.0,0.02413,descartar
hx_neuro,240.8,0.0,0.0238,descartar
