indicador,n,pct_test
a1_reales,4648,0.05558478832815116
alertas_a1_umbral_0_40,5139,0.06145658933269553
alertas_a1_reales,3288,0.03932073666586941
alertas_a1_no_a1,1851,0.02213585266682612
a1_infratriados_argmax_final,1438,0.017196842860559676
infratriaje_total,13428,0.16058359244199952
sobretriaje_total,12190,0.14577852188471657
infratriaje_critico_a1,1438,0.017196842860559676
cambios_si_politica_forzada_0_40,1343,0.016060751016503227
rescates_a1_si_politica_forzada_0_40,101,0.0012078450131547476
