feature,feature_es,Acuity 1,Acuity 2,Acuity 3,Acuity 4,Acuity 5,max_mean_abs_shap,rank_por_maximo
llegada_ambulancia,Llegada en ambulancia,0.2271966210975721,0.20415488386653358,0.01440627902280364,0.2686533357427659,0.4142628820704949,0.4142628820704949,1
news2,NEWS2 adaptado,0.34585527654781395,0.04852806011991383,0.12010368202853604,0.12852461503496063,0.057200198814030274,0.34585527654781395,2
cc_gi_agudo,Motivo gastrointestinal agudo,0.053222588392228945,0.016263384206129723,0.11596009419640116,0.21541590705412242,0.29379894480817237,0.29379894480817237,3
cc_neuro_ams,Alteración neurológica / mental,0.1545405513414931,0.07053241936366311,0.05409275211955714,0.2844285326011726,0.2374106410669373,0.2844285326011726,4
bert_svd_08,Componente semántico 8,0.1407573916617982,0.06224321844656618,0.08182957706046197,0.16661609424735385,0.2691498276292089,0.2691498276292089,5
n_medicamentos,Número de medicamentos,0.01677664361636924,0.10231950881322852,0.014158902382674374,0.14620265901769336,0.2669085442034594,0.2669085442034594,6
bert_svd_03,Componente semántico 3,0.05241381092966016,0.09469416276275995,0.024877154966191552,0.25914638875986296,0.10330004751297327,0.25914638875986296,7
bert_svd_05,Componente semántico 5,0.13287262888793774,0.20801170293538912,0.03221172702848466,0.2456437355406318,0.1662265817068975,0.2456437355406318,8
pain,Dolor referido,0.12099490652655098,0.0476031478719814,0.10295130800480744,0.0930511974372187,0.23510786847438006,0.23510786847438006,9
cc_derivacion_urgente,Derivación urgente / pruebas alteradas,0.010435481961060419,0.07821983402128316,0.019260182484373847,0.2333418394420188,0.12784962402712358,0.2333418394420188,10
bert_svd_13,Componente semántico 13,0.05872794064051616,0.06870980875761375,0.03847649883813411,0.14202092239297726,0.22604502104324184,0.22604502104324184,11
bert_svd_02,Componente semántico 2,0.087357803537688,0.07562777095722822,0.020339415334410655,0.07885712029287317,0.22065120502741828,0.22065120502741828,12
cc_dolor_toracico,Dolor torácico,0.002312427716257808,0.1034355749904077,0.012749855588442681,0.21744347352992877,0.08230086989895759,0.21744347352992877,13
age,Edad,0.09001250613648441,0.1182977238479463,0.03548603272020167,0.20374827613045957,0.21619996812493958,0.21619996812493958,14
bert_svd_04,Componente semántico 4,0.08821415101837934,0.09860003807215023,0.014590695719644756,0.15316895523987734,0.17531511210563402,0.17531511210563402,15
bert_svd_07,Componente semántico 7,0.1624611504737896,0.01739556415261805,0.03951635245963665,0.04228911356183954,0.07987712067226421,0.1624611504737896,16
cc_disnea,Disnea,0.0019505547947454873,0.030614984574652556,0.025818622306423556,0.15257171785582357,0.07243787619128146,0.15257171785582357,17
bert_svd_01,Componente semántico 1,0.1510623896559682,0.05865634041748972,0.12376359444370261,0.046126054352672655,0.08160065009603584,0.1510623896559682,18
bert_svd_00,Componente semántico 0,0.026877956875752604,0.01708686292256384,0.026683349171353267,0.04797731214830797,0.1415736307299328,0.1415736307299328,19
resprate,Frecuencia respiratoria,0.05485606004287173,0.0694244564972214,0.07764482807480515,0.12186604294462734,0.0772972207401763,0.12186604294462734,20
n_visitas_previas,Visitas previas,0.11806222973728815,0.03699351853006022,0.01931111489254413,0.04575360793290321,0.02360446514174367,0.11806222973728815,21
bert_svd_12,Componente semántico 12,0.10619145547635957,0.031124137032732355,0.03154256293216567,0.040600646818171854,0.10746968223966866,0.10746968223966866,22
sbp,Presión arterial sistólica,0.10702177019689624,0.030376478352144947,0.055489941827647236,0.026845327844284884,0.071893880478975,0.10702177019689624,23
n_vitales_anomalos,Constantes vitales anómalas,0.07032657328943094,0.0329146008761763,0.013660562001709852,0.07270154250554499,0.09719977239087053,0.09719977239087053,24
bert_svd_06,Componente semántico 6,0.09079908623919347,0.030710134455216493,0.019887170152479677,0.04703972222164054,0.07529634201885627,0.09079908623919347,25
bert_svd_10,Componente semántico 10,0.08838972075899394,0.029612891684043904,0.016271289039835473,0.050848366083491615,0.0599968522328506,0.08838972075899394,26
zona_verde,Zona verde,0.0832638398358,0.011043176470456056,0.0019229245282130216,0.012237983963869915,0.005316582148730994,0.0832638398358,27
temperature_missing,Temperatura no registrada,0.08269390879603183,0.004902399301082508,0.044849087185203494,0.02026270011094438,0.002073906657041446,0.08269390879603183,28
bert_svd_09,Componente semántico 9,0.03339736137155593,0.01627280373800775,0.019803122458556838,0.044241729622391666,0.06881275071770188,0.06881275071770188,29
cc_psiquiatrico,Motivo psiquiátrico,0.0036556004648083344,0.0655212955150708,0.01283668311726131,0.05750801441625853,0.02659946564385711,0.0655212955150708,30
dias_desde_ultima_visita,Días desde la última visita,0.04547532993436458,0.03329513792223416,0.007123441813980378,0.03412841427981275,0.05898647732860283,0.05898647732860283,31
hx_trauma_muscular,Antecedente traumático/muscular,0.027096062651987236,0.037963737658654746,0.00179858204337871,0.05829344085978064,0.040497109896265183,0.05829344085978064,32
bert_svd_14,Componente semántico 14,0.05527770774672798,0.021067271469677126,0.03163731232138488,0.025080346570983292,0.027735630635904517,0.05527770774672798,33
bert_svd_11,Componente semántico 11,0.03641155894923687,0.051416049265264545,0.029687539533307158,0.035228508607497704,0.01900212302139915,0.051416049265264545,34
med_opiaceo,Opiáceos,0.005409322063756374,0.030669699719725725,0.0026407877911934765,0.050220115550707135,0.04019867778431307,0.050220115550707135,35
sirs_positivo,SIRS positivo,0.04846189287022612,0.00020967460665348873,0.00721425053009068,0.00072891300784425,0.0012086470504791811,0.04846189287022612,36
med_insulina,Insulina,0.0009199332024717005,0.0006686205609042161,2.4916146944136013e-06,0.00045230757038575294,0.04818138733807694,0.04818138733807694,37
cc_infeccioso,Motivo infeccioso,0.040225244088074985,0.0005145155752089566,0.045724632672853975,0.0046123513958312235,2.8613125088146735e-05,0.045724632672853975,38
o2sat,Saturación de oxígeno,0.03929812299612905,0.03210540183729061,0.016147373644611534,0.04250603912263312,0.040172743430044365,0.04250603912263312,39
med_diuretico_asa,Diurético de asa,0.0003177179747304081,0.023133697666078642,0.0028924559640448426,0.038803246141702476,0.00453092475179525,0.038803246141702476,40
visitas_ultimo_año,Visitas en el último año,0.006763266362378973,0.01154589106983426,0.002578595965801333,0.012383130528282172,0.037492340968268756,0.037492340968268756,41
med_betabloqueante,Betabloqueantes,0.013130642230667717,0.035495164053982585,0.012320651356603951,0.036221685976108885,0.003217577085518341,0.036221685976108885,42
pain_missing,Dolor no registrado,0.03582908817770684,0.0007955318587840292,0.01025153569918574,0.010391192493406119,0.0005541323052827268,0.03582908817770684,43
cc_urologico,Motivo urológico,0.03341143583479976,0.00806374042721491,0.0257307528115266,0.0038106665355298838,0.013659452662895843,0.03341143583479976,44
shock_index_alto,Índice de shock alto,0.03197083751099266,0.0001376691133348427,0.014414443681504014,0.0001946979699718123,0.001188584125474365,0.03197083751099266,45
visitas_ultimo_mes,Visitas en el último mes,0.012141905014810548,0.0038196763199175835,0.000959236732248276,0.021888979767888023,0.030879552023655915,0.030879552023655915,46
med_antiagregante,Medicación antiagregante,0.027881442313769943,0.010762655495706718,0.007393441138078056,0.005276144401764761,0.0029509028513222575,0.027881442313769943,47
cc_trauma,Trauma,0.024545521521489318,0.013367491492554338,0.005724779737197227,0.016268027424714223,0.0067713782972667865,0.024545521521489318,48
med_ace_ara2,IECA/ARA-II,0.0019279425405899647,0.0051757201004011925,0.0010159898602593454,0.0017008194673094786,0.0233229164559274,0.0233229164559274,49
sin_medicacion,Sin medicación registrada,0.0005309680222153091,0.003571767875730921,0.006996085183148309,0.017518131169224523,0.0226824326588798,0.0226824326588798,50
cc_hemorragia_activa,Hemorragia activa,0.008754766838048593,0.02092863551780134,0.002933635440835314,0.017355337583413077,0.008684058089284422,0.02092863551780134,51
hx_respiratorio,Antecedente respiratorio,0.0015371480824694585,0.007451834530512863,0.00046453402393460816,0.020812068735710464,0.001930462662243427,0.020812068735710464,52
alto_riesgo_sangrado,Alto riesgo de sangrado,0.011304934508420444,0.020005654706635564,0.014482375180519718,0.018859394868814723,0.0045360923339816785,0.020005654706635564,53
cc_cefalea,Cefalea,0.0030915916534915494,0.007454922959899782,0.00015239706177890694,0.013730109236722953,0.019543651658340124,0.019543651658340124,54
alto_riesgo_delirium,Alto riesgo de delirium,0.006054051725105625,0.0044952355588727295,4.696136466297138e-06,0.01886729156232139,0.0037331363884532923,0.01886729156232139,55
hx_metabolico_renal,Antecedente metabólico/renal,0.00043660388886919226,0.009228677702782134,0.00026602104258234164,0.018278006986497487,0.008667589558804915,0.018278006986497487,56
cc_intoxicacion,Intoxicación,0.00443668523967344,0.0005269398198743805,0.015587161194557782,0.0017550944328906335,0.010548761278820118,0.015587161194557782,57
hx_abuso_sustancias,Antecedente de abuso de sustancias,0.014820719901428058,0.0002998180815031779,0.004222442263585408,0.0014940297118611085,0.00044487601530125107,0.014820719901428058,58
qsofa,qSOFA,0.014802909088280806,0.000976264917714189,0.0074598180596933215,0.0021618049862491685,0.00019476160940800423,0.014802909088280806,59
cc_alergia_anafilaxia,Alergia o anafilaxia,0.014392369383107926,0.0017947634400686781,0.005166275817410583,0.003926436522998856,0.0050393049830106135,0.014392369383107926,60
llegada_desconocida,Modo de llegada desconocido,0.014304978160527787,0.0002232644378925486,0.011182843126969506,0.0010470825112265589,0.011321510586344875,0.014304978160527787,61
vitales_criticos,Constantes críticas,0.012863659811733432,0.001172428164102104,0.0013257054201514964,0.007981395071591669,0.007016584083026697,0.012863659811733432,62
med_anticonvulsivante,Anticonvulsivantes,0.012791440201843569,0.00017232246699701913,6.419213812273125e-05,0.001718385145080891,0.003098402609972131,0.012791440201843569,63
primera_visita,Primera visita registrada,0.00968335114327901,0.004267204432879983,0.00017176338355032381,0.006609174348137448,0.0014675716922381552,0.00968335114327901,64
shock_oculto_anciano,Shock oculto en paciente mayor,0.005413246118438529,0.00015641183872702847,0.00802525218204074,0.009667046893496532,0.0,0.009667046893496532,65
med_ssri_snri,ISRS/IRSN,0.0,9.653673072390043e-05,0.009564898522982231,0.0058089876562831665,0.0033740195853492762,0.009564898522982231,66
hx_infeccioso,Antecedente infeccioso,0.0011999785261485095,0.0035421629166537422,0.00795441984867579,0.0010236226966402115,0.0011096962137062433,0.00795441984867579,67
hx_psiquiatrico,Antecedente psiquiátrico,0.003841944940657489,0.0001086597085959526,7.230277302283802e-05,0.0057757528566980045,0.006729127515921061,0.006729127515921061,68
hx_neuro,Antecedente neurológico,0.001884452263241864,0.0007975586650483027,0.002258989396135237,0.0017557134206578032,0.0066142209328326805,0.0066142209328326805,69
hx_cardiaco,Antecedente cardiaco,0.001426086831365072,0.006382681450539721,0.0051813022093786226,0.001159392072848362,0.0003065952073084955,0.006382681450539721,70
hx_digestivo,Antecedente digestivo,0.00442692154538417,3.5296178222562375e-05,0.0014146687839079659,0.0004945079218043497,0.006136405437801541,0.006136405437801541,71
med_antipsicótico,Antipsicóticos,0.005202484814940634,0.006041359977400882,0.0022692937898988377,1.877934534917953e-05,0.0022681628527898303,0.006041359977400882,72
o2sat_bajo_92,Saturación inferior al 92%,0.004797323340434944,0.0002383594238764908,2.9345108726200905e-05,0.0,0.0,0.004797323340434944,73
o2sat_missing,Saturación no registrada,0.004603974401903567,0.0006392962453044979,0.001825931456602817,0.0001375595956422369,0.0004789315137453125,0.004603974401903567,74
identidad_desconocida,Identidad desconocida,0.002979231964443781,0.0005292958296404147,0.004042052156103976,0.0002413470875830006,7.364407596053041e-06,0.004042052156103976,75
frecuentador,Frecuentador,0.0011281345051337853,0.0007742593246194677,1.116681976966004e-05,0.0027593483319728455,0.003190747834469137,0.003190747834469137,76
llegada_helicoptero,Llegada en helicóptero,0.00031215095791037144,8.775670039840879e-05,0.001550333296759348,0.0,0.0,0.001550333296759348,77
taquipnea_grave,Taquipnea grave,0.0009258708773695195,0.00016266236199857187,0.00039782730428429715,4.5987861156521735e-06,0.0001194638266429185,0.0009258708773695195,78
news2_alto,NEWS2 alto,0.0007441765734497705,3.160572867996195e-05,0.0007717120074868535,0.0,0.0,0.0007717120074868535,79
